Team,points-per-game,red-zone-scoring-pct,yards-per-game,yards-per-play,average-time-of-possession-net-of-ot,third-down-conversion-pct,yards-per-rush-attempt,rushing-attempts-per-game,pass-attempts-per-game,completions-per-game,yards-per-completion,average-team-passer-rating,kicking-points-per-game,net-punt-yards-per-game,field-goal-conversion-pct,opponent-points-per-game,opponent-red-zone-scoring-pct,opponent-yards-per-game,opponent-yards-per-play,opponent-average-time-of-possession-net-of-ot,opponent-third-down-conversion-pct,opponent-yards-per-rush-attempt,opponent-rushing-attempts-per-game,opponent-pass-attempts-per-game,opponent-completion-pct,opponent-yards-per-completion,opponent-average-team-passer-rating,opponent-kicking-points-per-game,opponent-net-punt-yards-per-game,opponent-field-goal-conversion-pct
Arizona2022,22.6,57.69%,337.7,4.9,30:18,34.96%,4.5,26.0,40.4,26.9,8.2,86.6,5.4,157.8,92.31%,26.8,67.57%,368.9,5.8,29:41,45.71%,4.5,25.4,36.1,68.62%,10.2,98.9,8.1,161.6,94.12%
Atlanta2022,24.1,62.07%,320.1,5.5,29:52,45.00%,4.8,33.7,22.3,13.8,11.4,90.0,7.4,158.1,78.95%,25.0,58.33%,406.9,6.1,30:07,47.46%,4.3,24.8,40.3,68.87%,10.8,96.1,7.0,114.4,87.50%
Baltimore2022,26.1,55.88%,354.9,5.8,32:12,45.05%,5.5,30.4,28.6,17.8,10.5,93.7,8.8,134.9,90.00%,21.8,57.58%,350.8,5.6,27:47,33.65%,4.3,21.6,37.8,66.18%,10.4,89.7,7.1,152.9,88.24%
Buffalo2022,27.5,53.57%,416.4,6.5,29:15,52.17%,5.1,24.4,38.1,24.1,12.1,97.6,7.8,79.4,80.00%,14.8,47.83%,299.6,5.0,30:44,40.21%,4.3,24.4,32.6,65.13%,9.2,76.4,5.0,159.3,69.23%
Carolina2022,19.9,54.55%,289.9,5.3,25:30,26.67%,4.6,22.8,29.8,17.1,10.8,76.7,6.3,220.1,87.50%,25.3,58.82%,370.3,5.5,34:29,42.62%,4.5,31.2,34.7,66.99%,9.9,91.6,8.0,173.2,80.00%
Chicago2022,20.8,55.17%,321.1,5.3,30:19,43.44%,5.4,36.1,20.9,12.3,10.2,85.1,7.2,155.1,100.00%,24.0,67.74%,347.9,5.8,29:40,50.46%,4.9,30.3,27.8,66.00%,10.9,87.0,5.8,145.9,64.29%
Cincinnati2022,25.3,72.41%,361.8,5.5,32:04,49.56%,4.0,24.7,37.4,26.3,10.0,103.0,6.2,128.9,73.33%,20.6,53.85%,324.0,5.3,27:55,38.39%,4.4,27.1,32.4,58.22%,10.9,77.1,9.0,165.7,88.00%
Cleveland2022,25.0,61.29%,385.8,5.7,32:31,41.28%,5.0,33.3,32.0,20.4,10.9,84.8,7.5,121.3,77.78%,24.9,58.62%,331.4,5.6,27:28,39.78%,4.6,26.6,30.3,61.98%,11.1,93.2,7.6,152.6,81.25%
Dallas2022,22.9,63.64%,322.1,5.4,27:36,37.76%,4.7,28.1,29.6,18.0,10.6,83.5,7.9,185.6,88.24%,16.6,50.00%,313.5,4.8,32:24,35.71%,4.7,29.0,32.6,65.13%,8.4,81.5,7.4,164.9,85.00%
Denver2022,15.1,35.00%,328.9,5.2,29:52,29.20%,4.1,26.4,34.3,19.8,11.2,79.0,6.6,233.1,78.95%,16.5,26.32%,288.4,4.5,30:07,34.23%,4.9,25.0,35.5,62.68%,7.4,72.4,9.0,231.3,100.00%
Detroit2022,23.5,71.43%,377.3,6.0,28:30,39.36%,5.0,26.8,34.5,21.8,11.2,91.9,5.3,121.6,80.00%,29.3,63.33%,417.3,6.4,31:29,51.02%,5.0,29.5,34.3,66.79%,11.7,99.8,7.3,108.9,78.57%
Green Bay2022,17.1,50.00%,345.3,5.5,30:53,39.62%,4.8,24.9,36.2,23.4,9.6,89.0,4.9,153.9,81.82%,20.9,48.00%,309.1,5.4,29:06,32.65%,4.8,29.1,26.1,65.53%,10.0,91.0,7.3,182.7,88.89%
Houston2022,16.6,52.63%,290.5,5.0,28:42,31.07%,4.3,23.5,32.4,20.3,9.3,80.8,6.9,208.4,87.50%,22.9,55.56%,398.1,6.0,31:17,41.18%,5.5,33.1,31.0,62.10%,11.3,82.4,7.6,158.4,82.35%
Indianapolis2022,14.7,44.00%,315.1,4.8,29:46,35.77%,3.7,23.4,38.8,26.1,8.7,82.5,6.4,185.3,84.21%,20.3,58.33%,306.8,5.0,30:13,33.05%,3.8,29.8,29.6,68.42%,9.5,94.7,7.4,199.6,89.47%
Jacksonville2022,22.1,52.94%,367.4,5.7,30:37,43.75%,5.1,28.8,34.3,22.0,10.0,87.2,6.3,142.9,86.67%,19.8,55.56%,343.4,5.4,29:22,39.64%,4.0,26.2,35.4,62.70%,10.7,85.8,5.3,164.8,100.00%
Kansas City2022,30.4,73.53%,415.3,6.2,30:57,50.00%,4.5,23.3,41.8,27.4,11.4,102.7,7.1,147.8,68.75%,23.6,70.37%,351.5,5.5,29:02,37.62%,4.4,23.0,38.4,66.12%,9.8,101.0,6.9,156.5,100.00%
LA Chargers2022,23.0,53.13%,364.3,5.3,29:46,41.80%,3.7,23.9,43.9,29.1,9.4,90.6,7.8,171.5,93.33%,25.8,53.57%,352.3,5.9,30:13,41.49%,5.7,25.5,32.3,65.12%,9.8,90.8,8.3,149.5,78.95%
LA Rams2022,16.4,47.83%,286.0,4.7,30:46,42.72%,3.2,21.4,35.9,24.5,8.9,84.8,5.9,191.4,91.67%,21.6,42.11%,312.4,5.3,29:13,41.90%,4.1,24.1,32.9,67.30%,9.7,91.7,7.6,162.9,83.33%
Las Vegas2022,22.9,50.00%,338.4,5.6,29:11,37.89%,5.1,21.8,35.9,22.4,10.2,88.0,8.6,137.6,100.00%,25.1,74.07%,371.3,5.8,30:48,48.04%,4.2,27.6,35.1,70.46%,10.3,106.7,5.9,134.8,64.29%
Miami2022,23.7,68.97%,380.4,6.3,29:32,41.35%,3.9,22.4,35.8,23.8,12.3,102.7,6.3,140.3,73.33%,24.9,70.00%,363.3,5.8,30:27,44.74%,4.6,25.8,34.9,68.47%,10.3,100.6,6.0,157.7,90.91%
Minnesota2022,24.1,64.52%,340.1,5.3,29:09,40.38%,4.3,23.5,38.4,25.0,9.5,89.9,6.4,206.5,68.75%,20.1,78.95%,368.1,5.7,30:50,34.41%,4.2,26.3,34.9,67.38%,10.9,92.4,5.6,164.5,66.67%
New England2022,22.6,46.15%,319.9,5.3,30:54,39.13%,4.1,28.8,29.6,20.1,10.1,85.1,8.6,145.0,90.48%,18.4,51.85%,325.0,5.2,29:05,38.58%,4.7,25.9,33.4,56.81%,10.8,75.7,6.9,145.6,88.89%
